title,genres_clean,companies_names,director
detroit 9000,"Drama, Action, Crime",Holly Hill Productions,Arthur Marks
the inheritors,"Drama, Foreign","Bayerischer Rundfunk, Dor Film Produktionsgesellschaft GmbH, Österreichischer Rundfunk (ORF)",Stefan Ruzowitzky
the mighty,"Comedy, Drama",Miramax Films,Peter Chelsom
2010,"Thriller, Science Fiction",Metro-Goldwyn-Mayer (MGM),Peter Hyams
children of a lesser god,"Drama, Romance",Paramount Pictures,Randa Haines
the elephant man,"Drama, History",Brooksfilms,David Lynch
beloved,"Drama, Thriller","Harpo Films, Touchstone Pictures",Jonathan Demme
bride of chucky,"Horror, Comedy","Universal Pictures, Midwinter Productions Inc.",Ronny Yu
practical magic,"Drama, Fantasy, Comedy","Village Roadshow Pictures, DiNovi Pictures, Fortis Films, Warner Bros., Stargate Studios",Griffin Dunne
the alarmist,Comedy,no register,Evan Dunsky
happiness,"Comedy, Drama","Killer Films, Good Machine",Todd Solondz
reach the rock,"Comedy, Drama",Gramercy Pictures,William Ryan
apt pupil,"Drama, Thriller","TriStar Pictures, Bad Hat Harry Productions, Phoenix Pictures",Bryan Singer
pleasantville,"Fantasy, Drama, Comedy","New Line Cinema, Larger Than Life Productions",Gary Ross
soldier,"Action, War, Science Fiction","Impact Pictures, Jerry Weintraub Productions, Warner Bros., Morgan Creek Productions",Paul W.S. Anderson
the cruise,Documentary,Charter Films Inc.,Bennett Miller
life is beautiful,"Comedy, Drama","Miramax Films, Melampo Cinematografica",Roberto Benigni
orgazmo,Comedy,"Kuzui Enterprises, Avenging Conscience, Focus Features",Trey Parker
shattered image,no register,no register,Raúl Ruiz
tales from the darkside: the movie,"Thriller, Comedy, Fantasy, Horror","Paramount Pictures, Laurel Productions, Darkside Movie",John Harrison
vampires,"Action, Drama, Fantasy, Horror, Thriller","Columbia Pictures, Largo Entertainment, JVC Entertainment Networks, Film Office, Spooky Tooth Productions, Storm King Productions",John Carpenter
american history x,Drama,"New Line Cinema, The Turman-Morrissey Company, Savoy Pictures",Tony Kaye
hands on a hard body: the documentary,Documentary,no register,S.R. Bindler
living out loud,"Comedy, Drama, Romance","New Line Cinema, Jersey Films",Richard LaGravenese
belly,"Crime, Drama",Artisan Entertainment,Hype Williams
gods and monsters,Drama,"Lions Gate Films, Flashpoint (I), Showtime Networks",Bill Condon
the siege,"Drama, Action, Thriller, Crime","Twentieth Century Fox Film Corporation, Lynda Obst Productions, Bedford Falls Company, The",Edward Zwick
the waterboy,Comedy,Touchstone Pictures,Frank Coraci
elizabeth,"Drama, History","Channel Four Films, PolyGram Filmed Entertainment, Working Title Films",Shekhar Kapur
velvet goldmine,"Drama, Music","Channel Four Films, Single Cell Pictures, Newmarket Capital Group, Goldwyn Films, Killer Films, Zenith Entertainment, Miramax",Todd Haynes
i still know what you did last summer,"Horror, Mystery, Thriller","Columbia Pictures, Mandalay Entertainment, Summer Knowledge LLC",Danny Cannon
i'll be home for christmas,"Comedy, Family",Walt Disney Pictures,Arlene Sanford
meet joe black,"Fantasy, Drama, Mystery","Universal Pictures, City Light Films",Martin Brest
dancing at lughnasa,Drama,"Sony Pictures Classics, Bórd Scannán na hÉireann, Radio Teléfis Éireann",Pat O'Connor
hard core logo,"Drama, Comedy, Music",Terminal City Pictures,Bruce McDonald
the naked man,"Comedy, Thriller",no register,J. Todd Anderson
runaway train,"Action, Thriller","Cannon Group, Golan-Globus Productions, Northbrook Films",Andrei Konchalovsky
desert bloom,"Drama, Family",no register,Eugene Corr
the stepford wives,"Horror, Mystery, Science Fiction","Palomar Pictures, Fadsin Cinema Associates",Bryan Forbes
the pope of greenwich village,"Drama, Action, Comedy, Crime",United Artists,Stuart Rosenberg
sid & nancy,"Drama, Music, Romance","Zenith Entertainment, Initial Pictures, U.K. Productions Entity",Alex Cox
mona lisa,"Drama, Crime, Romance","The Criterion Collection, HandMade Films",Neil Jordan
heart condition,"Fantasy, Comedy, Science Fiction",New Line Cinema,James D. Parriott
nights of cabiria,Drama,"Dino de Laurentiis Cinematografica, Les Films Marceau",Federico Fellini
the big chill,"Comedy, Drama",Columbia Pictures,Lawrence Kasdan
enemy of the state,"Action, Drama, Thriller","Jerry Bruckheimer Films, Scott Free Productions, Touchstone Pictures, No Such Productions",Tony Scott
the rugrats movie,"Animation, Family","Paramount Pictures, Nickelodeon Movies, Klasky-Csupo",Norton Virgien
a bug's life,"Adventure, Animation, Comedy, Family","Walt Disney Pictures, Pixar Animation Studios",John Lasseter
celebrity,"Drama, Comedy","Sweetland Films, Magnolia Productions",Woody Allen
central station,Drama,"MACT Productions, Videofilms, Riofilm",Walter Salles
savior,"History, Drama, War",Initial Entertainment Group (IEG),Predrag Antonijević
waking ned,"Comedy, Romance","Fox Searchlight Pictures, Canal+, Tomboy Films",Kirk Jones
the celebration,Drama,"Nordic Film, Sveriges Television (SVT), Nimbus Film Productions",Thomas Vinterberg
pink flamingos,"Horror, Comedy, Crime",Dreamland Productions,John Waters
glen or glenda,"Comedy, Drama",Screen Classics (II),Edward D. Wood Jr.
godzilla,"Thriller, Horror, Science Fiction",Toho Film (Eiga) Co. Ltd.,Ishirô Honda
godzilla 1985,"Action, Drama, Horror, Science Fiction, Thriller",New World Pictures,Koji Hashimoto
king kong vs. godzilla,"Action, Adventure, Science Fiction","Toho Company, RKO General Pictures",Ishirô Honda
king kong,"Action, Adventure, Drama, Horror",RKO Radio Pictures,Merian C. Cooper
king kong,"Adventure, Drama","Paramount Pictures, Dino De Laurentiis Company",John Guillermin
king kong lives,"Action, Horror",De Laurentiis Entertainment Group (DEG),John Guillermin
desperately seeking susan,Comedy,Orion Pictures,Susan Seidelman
the emerald forest,"Action, Adventure, Drama","Embassy Pictures Corporation, Christel Films",John Boorman
fletch,"Comedy, Crime, Mystery",Universal Pictures,Michael Ritchie
fletch lives,"Comedy, Crime, Mystery","Universal Pictures, Vincent Pictures",Michael Ritchie
red sonja,"Adventure, Fantasy, Action","Famous Films (II), Metro-Goldwyn-Mayer (MGM), Dino De Laurentiis Company",Richard Fleischer
gung ho,"Comedy, Drama",Paramount Pictures,Ron Howard
the money pit,"Comedy, Romance","Universal Pictures, Amblin Entertainment",Richard Benjamin
a view to a kill,"Adventure, Action, Thriller",Eon Productions,John Glen
lifeforce,"Fantasy, Horror, Science Fiction, Thriller","TriStar Pictures, Golan-Globus, Easedram",Tobe Hooper
police academy,"Comedy, Crime","Warner Bros., The Ladd Company",Hugh Wilson
police academy 2: their first assignment,"Comedy, Crime","Warner Bros., The Ladd Company",Jerry Paris
police academy 3: back in training,"Comedy, Crime","Warner Bros., Police Academy Productions",Jerry Paris
police academy 4: citizens on patrol,"Comedy, Crime",Warner Bros.,Jim Drake
police academy 5: assignment miami beach,"Comedy, Crime",Warner Bros.,Alan Myerson
police academy 6: city under siege,"Comedy, Crime",Warner Bros.,Peter Bonerz
babe: pig in the city,"Adventure, Comedy, Drama, Family, Fantasy",Kennedy Miller Productions,George Miller
home fries,"Drama, Comedy, Romance","Warner Bros., Baltimore Pictures, Kasdan Pictures",Dean Parisot
ringmaster,Comedy,Artisan Entertainment,Neil Abramson
very bad things,"Comedy, Crime, Thriller","Initial Entertainment Group (IEG), Interscope Communications, VBT Productions, Ballpark Productions Partnership",Peter Berg
steam: the turkish bath,Drama,no register,Ferzan Ozpetek
psycho,"Horror, Mystery, Thriller","Imagine Entertainment, Universal Pictures",Gus Van Sant
little voice,"Comedy, Drama",Miramax Films,Mark Herman
a simple plan,"Drama, Crime, Thriller",Paramount Pictures,Sam Raimi
jack frost,"Comedy, Family, Drama, Fantasy","Warner Bros., Azoff Entertainment, The Canton Company",Troy Miller
star trek: insurrection,"Science Fiction, Action, Adventure, Thriller",Paramount Pictures,Jonathan Frakes
the prince of egypt,"Adventure, Animation, Drama, Family, Music","DreamWorks SKG, DreamWorks Animation",Brenda Chapman
rushmore,"Comedy, Drama",Touchstone Pictures,Wes Anderson
shakespeare in love,"Romance, History","Miramax Films, Universal Pictures, Bedford Falls Productions",John Madden
mass appeal,Drama,no register,Glenn A. Jordan
miracle on 34th street,"Drama, Family",Twentieth Century Fox Film Corporation,George Seaton
santa claus: the movie,"Family, Fantasy, Adventure, Science Fiction, Comedy","TriStar Pictures, Calash Corporation",Jeannot Szwarc
prancer,"Drama, Family, Fantasy",Orion Pictures,John D. Hancock
pale rider,"Romance, Western","Warner Bros., Malpaso Company",Clint Eastwood
rambo: first blood part ii,"Action, Adventure, Thriller, War","TriStar Pictures, Carolco Pictures",George P. Cosmatos
first blood,"Action, Adventure, Thriller, War",Orion Pictures,Ted Kotcheff
rambo iii,"Action, Adventure, Thriller, War","TriStar Pictures, Carolco Pictures",Peter MacDonald
the jewel of the nile,"Action, Adventure, Comedy, Romance","Twentieth Century Fox Film Corporation, SLM Production Group, Stone Group Pictures",Lewis Teague
romancing the stone,"Action, Adventure, Comedy, Romance","Twentieth Century Fox Film Corporation, SLM Production Group, Nina Saxon Film Design, El Corazon Producciones S.A.",Robert Zemeckis
cocoon,"Comedy, Drama, Science Fiction","Twentieth Century Fox Film Corporation, SLM Production Group, Zanuck/Brown Productions",Ron Howard
cocoon: the return,"Comedy, Drama, Science Fiction","Twentieth Century Fox Film Corporation, Zanuck/Brown Productions",Daniel Petrie
rocky ii,Drama,United Artists,Sylvester Stallone
rocky iii,Drama,United Artists,Sylvester Stallone
rocky iv,Drama,United Artists,Sylvester Stallone
rocky v,Drama,United Artists,John G. Avildsen
clue,"Comedy, Thriller, Crime, Mystery","Paramount Pictures, Debra Hill Productions, PolyGram Filmed Entertainment, The Guber-Peters Company",Jonathan Lynn
young sherlock holmes,"Action, Adventure, Crime, Drama, Family, Mystery, Thriller","Paramount Pictures, Amblin Entertainment",Barry Levinson
violets are blue,no register,no register,Jack Fisk
back to school,Comedy,"Orion Pictures, Paper Clip Productions",Alan Metter
heartburn,"Comedy, Drama, Romance",Paramount Pictures,Mike Nichols
nothing in common,"Drama, Comedy, Romance",TriStar Pictures,Garry Marshall
extremities,"Drama, Thriller",Atlantic Entertainment Group,Robert M. Young
the karate kid,Drama,"Columbia Pictures Corporation, Jerry Weintraub Productions, Delphi Films",John G. Avildsen
"the karate kid, part ii","Adventure, Drama, Action, Romance, Family","Columbia Pictures Corporation, Delphi V Productions",John G. Avildsen
"the karate kid, part iii","Family, Adventure","Columbia Pictures Corporation, Weintraub International Group",John G. Avildsen
national lampoon's christmas vacation,Comedy,"Hughes Entertainment, Warner Bros.",Jeremiah S. Chechik
you've got mail,"Comedy, Romance",Warner Bros.,Nora Ephron
the general,"Drama, Action, Crime","Merlin Films, J & M, Irish Film Board",John Boorman
the theory of flight,Drama,"BBC Films, Distant Horizons",Paul Greengrass
the thin red line,"Drama, History, War","Fox 2000 Pictures, Phoenix Pictures, Geisler-Roberdeau",Terrence Malick
the faculty,"Horror, Mystery, Science Fiction","Dimension Films, Los Hooligans Productions",Robert Rodriguez
mighty joe young,"Action, Adventure, Family, Fantasy","Walt Disney Pictures, RKO Pictures",Ron Underwood
mighty joe young,"Adventure, Fantasy, Drama, Action, Science Fiction","RKO Radio Pictures, Argosy Pictures",Ernest B. Schoedsack
patch adams,"Comedy, Drama","Universal Pictures, Bungalow 78 Productions, Blue Wolf, Farrell/Minoff",Tom Shadyac
stepmom,"Drama, Romance","Columbia Pictures, 1492 Pictures",Chris Columbus
a civil action,Drama,"Paramount Pictures, Wildwood Enterprises, Touchstone Pictures",Steven Zaillian
down in the delta,Drama,no register,Maya Angelou
hurlyburly,"Comedy, Drama","Fine Line Features, FilmColony",Anthony Drazan
tea with mussolini,"Comedy, Drama, War","Medusa Produzione, Cattleya, Cineritmo, Film and General Productions",Franco Zeffirelli
wilde,"Drama, History","British Broadcasting Corporation (BBC), capitol international, Dove International",Brian Gilbert
outside ozona,"Thriller, Comedy, Drama, Romance","Nu Image Films, Columbia TriStar Home Entertainment, Millennium Films",J.S. Cardone
affliction,Drama,Lions Gate Films,Paul Schrader
another day in paradise,"Thriller, Crime, Drama",Chinese Bookie Pictures,Larry Clark
the hi-lo country,"Drama, Action, Western, Romance","Gramercy Pictures, Cappa Productions, PolyGram Filmed Entertainment, Working Title Films",Stephen Frears
hilary and jackie,"Music, Drama","Channel Four Films, Arts Council of England, British Screen Productions",Anand Tucker
playing by heart,Drama,"Morpheus, Intermedia Films, Hyperion Pictures, Miramax",Willard Carroll
24 7: twenty four seven,"Comedy, Drama, Romance",Scala Films,Shane Meadows
at first sight,"Drama, Romance",Metro-Goldwyn-Mayer (MGM),Irwin Winkler
in dreams,"Drama, Thriller","DreamWorks SKG, Amblin Entertainment",Neil Jordan
varsity blues,"Comedy, Drama, Romance","Paramount Pictures, MTV Films",Brian Robbins
virus,"Horror, Action, Science Fiction","Universal Pictures, BBC Films, Dark Horse Entertainment, Toho-Towa, Mutual Film Company, Marubeni, Tele München Fernseh Produktionsgesellschaft (TMG), Valhalla Motion Pictures, UGC PH",John Bruno
the garbage pail kids movie,"Adventure, Science Fiction, Comedy",Topps Chewing Gum,Rod Amateau
howard the duck,"Comedy, Fantasy, Science Fiction","Lucasfilm, Universal Pictures",Willard Huyck
the gate,"Horror, Fantasy","Vista Organization, New Century Entertainment Corporation, Alliance Entertainment",Tibor Takács
the gate ii: trespassers,Horror,"Epic Productions, Vision PDG, Alliance Entertainment",Tibor Takács
the boy who could fly,"Drama, Family, Fantasy, Science Fiction",Lorimar Motion Pictures,Nick Castle
the fly,"Drama, Horror, Science Fiction",Twentieth Century Fox Film Corporation,Kurt Neumann
the fly,"Horror, Science Fiction","SLM Production Group, Brooksfilms",David Cronenberg
the fly ii,"Horror, Science Fiction, Thriller",Brooksfilms,Chris Walas
running scared,"Thriller, Action, Comedy, Crime","David Foster Productions, Turman-Foster Company, Metro-Goldwyn-Mayer (MGM)",Peter Hyams
armed and dangerous,"Action, Comedy, Crime","Columbia Pictures, Delphi V Productions, Frostbacks",Mark L. Lester
the texas chain saw massacre,Horror,"New Line Cinema, Vortex",Tobe Hooper
the texas chainsaw massacre 2,Horror,Cannon Films,Tobe Hooper
leatherface: texas chainsaw massacre iii,"Horror, Thriller",Nicolas Entertainment,Jeff Burr
texas chainsaw massacre: the next generation,"Horror, Comedy, Thriller",Ultra Muchos Productions,Kim Henkel
ruthless people,Comedy,Touchstone Pictures,Jim Abrahams
trick or treat,"Horror, Music",De Laurentiis Entertainment Group (DEG),Charles Martin Smith
deadly friend,"Horror, Science Fiction","Warner Bros., Pan Arts, Layton",Wes Craven
belizaire the cajun,"Romance, Drama, History",Cote Blanche Productions,Glen Pitre
the name of the rose,"Drama, Thriller, Mystery","Zweites Deutsches Fernsehen (ZDF), Les Films Ariane, RAI Radiotelevisione Italiana, Cristaldifilm",Jean-Jacques Annaud
jumpin' jack flash,"Romance, Comedy, Thriller","Twentieth Century Fox Film Corporation, Lawrence Gordon Productions, Silver Pictures",Penny Marshall
peggy sue got married,"Comedy, Drama, Fantasy, Romance","American Zoetrope, TriStar Pictures",Francis Ford Coppola
crocodile dundee,"Adventure, Comedy","Paramount Pictures, Rimfire Films",Peter Faiman
crocodile dundee ii,"Adventure, Comedy",Paramount Pictures,John Cornell
tough guys,"Comedy, Crime",Touchstone Pictures,Jeff Kanew
soul man,Comedy,no register,Steve Miner
the color of money,Drama,"Silver Screen Partners, Touchstone Pictures",Martin Scorsese
52 pick-up,"Crime, Drama, Thriller",Cannon Group,John Frankenheimer
heartbreak ridge,"Action, Comedy, Drama, War","Malpaso Productions, Jay Weston Productions",Clint Eastwood
firewalker,"Action, Adventure, Comedy","Cannon Group, Golan-Globus Productions",J. Lee Thompson
¡three amigos!,"Comedy, Western","L.A. Films, Home Box Office (HBO)",John Landis
gloria,"Drama, Action, Thriller, Crime","Columbia Pictures, Mandalay Entertainment",Sidney Lumet
dry cleaning,Drama,no register,Anne Fontaine
my name is joe,"Drama, Romance","Channel Four Films, Arte, Diaphana Films, The Glasgow Film Fund, Parallax Pictures, Degeto Film, Westdeutscher Rundfunk (WDR), Tornasol Films, Alta Films, La Sept Cinéma, Road Movies Vierte Produktionen, Scottish Arts Council Lottery Fund",Ken Loach
still crazy,"Comedy, Music","Columbia Pictures Corporation, The Greenlight Fund, Marmot Tandy Productions",Brian Gibson
the day of the beast,"Action, Comedy, Horror, Crime","Canal+ España, Sociedad General de Televisión (Sogetel), Iberoamericana Films Produccion",Álex de la Iglesia
tinseltown,no register,no register,no register
she's all that,"Comedy, Romance","Miramax Films, Tapestry Films, FilmColony",Robert Iscove
the 24 hour woman,"Comedy, Romance","Redeemable Features, Dirt Road Productions, King City, Exile Films",Nancy Savoca
"blood, guts, bullets and octane","Action, Comedy, Thriller",no register,Joe Carnahan
peeping tom,"Horror, Thriller","National Film Finance Corporation (NFFC), Anglo-Amalgamated Productions",Michael Powell
spanish fly,no register,no register,Daphna Kastner
payback,"Drama, Action, Thriller, Crime","Paramount Pictures, Icon Entertainment International",Brian Helgeland
simply irresistible,Comedy,"New Regency Pictures, Taurus Film, Polar Entertainment Corporation",Mark Tarlov
20 dates,"Romance, Comedy","Fox Searchlight Pictures, Twentieth Century Fox Film Corporation, Phoenician Films",Myles Berkowitz
comedian harmonists,"Music, Drama",Beta Film,Joseph Vilsmaier
the last days,"Documentary, Drama, History, War","Ken Lipper/June Beallor Production, Shoah Foundation, Survivors of the Shoah Visual History Foundation",James Moll
fantastic planet,"Animation, Fantasy, Science Fiction","Krátký Film Praha, Ceskoslovenský Filmexport, Argos Films, Institut National de l'Audiovisuel (INA), Les Films Armorial",René Laloux
blast from the past,"Comedy, Romance","New Line Cinema, Forge, Midnight Sun Pictures",Hugh Wilson
message in a bottle,"Romance, Drama","Bel Air Entertainment, DiNovi Pictures, Tiger Productions",Luis Mandoki
my favorite martian,"Comedy, Drama, Family, Science Fiction",Walt Disney Pictures,Donald Petrie
"god said, 'ha!'",Comedy,no register,Julia Sweeney
jawbreaker,Comedy,"TriStar Pictures, Crossroads Films, Kramer-Tornell Productions",Darren Stein
october sky,"Drama, Family",Universal Pictures,Joe Johnston
office space,"Comedy, Crime","Twentieth Century Fox Film Corporation, Cubicle Inc.",Mike Judge
the apple,Drama,no register,Samira Makhmalbaf
200 cigarettes,"Comedy, Drama, Romance",Paramount Pictures,Risa Bramon Garcia
8mm,"Thriller, Crime, Mystery","Columbia Pictures Corporation, Hofflund/Polone, Global Entertainment Productions GmbH & Company Medien KG",Joel Schumacher
the other sister,"Comedy, Drama, Romance",Touchstone Pictures,Garry Marshall
breakfast of champions,Comedy,Hollywood Pictures,Alan Rudolph
the breaks,Comedy,no register,Eric Meza
eight days a week,"Comedy, Drama, Romance",Underdog Productions,Michael Davis
just the ticket,"Comedy, Romance","Canal+, CineSon Entertainment",Richard Wenk
the long goodbye,"Thriller, Crime, Drama, Mystery","Lions Gate Films, E-K-Corporation",Robert Altman
the ballad of narayama,Drama,Toei Company,Shôhei Imamura
pet sematary,"Drama, Horror",Paramount Pictures,Mary Lambert
pet sematary ii,Horror,"Paramount Pictures, Columbus Circle Films",Mary Lambert
children of the corn ii: the final sacrifice,Horror,"Corn Cobb Productions, Dimension Films, Fifth Avenue Entertainment",David Price
children of the corn iii: urban harvest,"Thriller, Horror","Park Avenue Productions, Trans Atlantic Entertainment",James D.R. Hickox
christine,Horror,Columbia Pictures,John Carpenter
night shift,Comedy,"Warner Bros., The Ladd Company",Ron Howard
house on haunted hill,"Drama, Horror, Thriller",William Castle Productions,William Castle
airport,"Action, Drama, Thriller","Universal Pictures, Ross Hunter Productions Inc.",George Seaton
airport 1975,"Action, Adventure, Drama, Thriller",Universal Pictures,Jack Smight
airport '77,"Action, Adventure, Drama, Thriller",Universal Pictures,Jerry Jameson
rollercoaster,"Action, Thriller",Universal Pictures,James Goldstone
the towering inferno,"Action, Thriller","Twentieth Century Fox Film Corporation, Warner Bros., Irwin Allen Productions, United Films",John Guillermin
alligator,"Horror, Science Fiction, Thriller",Alligator Inc,Lewis Teague
meteor,"Action, Science Fiction, Thriller","Palladium Productions, American International Pictures (AIP), Meteor Joint Venture",Ronald Neame
westworld,"Action, Adventure, Drama, Horror, Science Fiction, Thriller, Western",Metro-Goldwyn-Mayer (MGM),Michael Crichton
logan's run,"Adventure, Action, Romance, Science Fiction",Metro-Goldwyn-Mayer (MGM),Michael Anderson
planet of the apes,"Science Fiction, Adventure, Drama, Action","Twentieth Century Fox Film Corporation, APJAC Productions",Franklin J. Schaffner
beneath the planet of the apes,"Adventure, Science Fiction, Mystery","Twentieth Century Fox Film Corporation, APJAC Productions",Ted Post
battle for the planet of the apes,"Action, Science Fiction","Twentieth Century Fox Film Corporation, Apjac International",J. Lee Thompson
conquest of the planet of the apes,"Action, Science Fiction","Twentieth Century Fox Film Corporation, APJAC Productions",J. Lee Thompson
escape from the planet of the apes,"Action, Science Fiction","Twentieth Century Fox Film Corporation, APJAC Productions",Don Taylor
avalanche,"Action, Adventure, Drama",New World Pictures,Corey Allen
earthquake,"Action, Drama, Thriller","Universal Pictures, The Filmakers Group",Mark Robson
the concorde... airport '79,"Action, Drama, Thriller",Universal Pictures,David Lowell Rich
beyond the poseidon adventure,"Action, Adventure, Drama",Warner Bros.,Irwin Allen
the dancemaker,Documentary,no register,no register
analyze this,"Comedy, Crime","Spring Creek Productions, Warner Bros., Tribeca Productions, Baltimore Pictures",Harold Ramis
the corruptor,"Action, Crime, Mystery, Thriller","New Line Cinema, Illusion Entertainment Group",James Foley
cruel intentions,"Drama, Romance, Thriller","Columbia Pictures, Cruel Productions, Newmarket Capital Group",Roger Kumble
"lock, stock and two smoking barrels","Comedy, Crime","Handmade Films Ltd., Summit Entertainment, PolyGram Filmed Entertainment, SKA Films, The Steve Tisch Company",Guy Ritchie
six ways to sunday,Comedy,"Scout Productions, Prosperity Electric",Adam Bernstein
the school of flesh,"Romance, Drama, Mystery","Artémis Productions, La Sept Cinéma, Orsans Productions, Bel Age Distribution",Benoît Jacquot
relax... it's just sex,Comedy,TLA Releasing,P.J. Castellaneta
the deep end of the ocean,"Drama, Mystery","Columbia Pictures Corporation, Mandalay Entertainment",Ulu Grosbard
harvest,Drama,no register,Stuart Burkin
the rage: carrie 2,"Horror, Thriller, Science Fiction","United Artists, Red Bank Films",Katt Shea
wing commander,"Action, Science Fiction","Carousel Picture Company, The, No Prisoners Productions, Origin Systems Inc., American Entertainment Investors, Wing Commander Productions, Digital Anvil",Christopher Roberts
the haunting,"Mystery, Horror, Thriller","Argyle Enterprises, Metro-Goldwyn-Mayer (MGM)",Robert Wise
dead ringers,"Drama, Horror, Thriller","Téléfilm Canada, Morgan Creek Productions, Mantle Clinic II",David Cronenberg
my boyfriend's back,"Comedy, Romance",Touchstone Pictures,Bob Balaban
village of the damned,"Horror, Science Fiction",Metro-Goldwyn-Mayer (MGM),Wolf Rilla
children of the damned,"Science Fiction, Thriller","Metro-Goldwyn-Mayer (MGM), Lawrence P. Bachmann Productions",Anton Leader
baby geniuses,"Science Fiction, Comedy, Family","TriStar Pictures, Crystal Sky Worldwide, Triumph",Bob Clark
telling you,"Drama, Comedy, Romance",no register,Robert DeFranco
i stand alone,"Drama, Thriller","Canal Plus, Les Cinémas de la Zone, Love Streams Productions",Gaspar Noé
forces of nature,"Romance, Comedy","DreamWorks SKG, Roth-Arnold Productions",Bronwen Hughes
the king and i,"Animation, Drama, Family","Rankin/Bass Productions, NEST Family Entertainment, Rich Animation Studios, Warner Bros., Morgan Creek Productions",Richard Rich
ravenous,"Comedy, Horror, Thriller, Western","Twentieth Century Fox Film Corporation, Fox 2000 Pictures, ETIC Films, Heyday Films, Engulf & Devour Productions Inc.",Antonia Bird
true crime,"Crime, Drama","The Zanuck Company, Malpaso Productions, Warner Bros.",Clint Eastwood
bandits,"Action, Drama, Foreign",Euro Video,Katja von Garnier
dangerous beauty,"Drama, Romance","Bedford Falls Productions, Regency Enterprises, Warner Bros., Arnon Milchan Productions",Marshall Herskovitz
the empty mirror,Drama,no register,Barry J. Hershey
the king and i,"Drama, Music, Romance",Twentieth Century Fox Film Corporation,Walter Lang
doug's 1st movie,"Animation, Family, Comedy",Walt Disney Pictures,Maurice Joyce
edtv,Comedy,"Imagine Entertainment, Universal Pictures",Ron Howard
the mod squad,"Action, Mystery, Thriller",Metro-Goldwyn-Mayer (MGM),Scott Silver
among giants,"Comedy, Romance","Arts Council of England, British Broadcasting Corporation (BBC), British Screen Productions",Sam Miller
a walk on the moon,"Drama, Romance","Miramax Films, Village Roadshow Pictures, Groucho II Film Partnership, Punch 21 Productions",Tony Goldwyn
the matrix,"Action, Science Fiction","Village Roadshow Pictures, Groucho II Film Partnership, Silver Pictures, Warner Bros.",Lana Wachowski
10 things i hate about you,"Comedy, Romance, Drama","Mad Chance, Jaret Entertainment, Touchstone Pictures",Gil Junger
tango,"Drama, Foreign, Romance",Adela Pictures,Carlos Saura
the out-of-towners,Comedy,"Paramount Pictures, Cherry Alley Productions",Sam Weisman
the dreamlife of angels,"Drama, Foreign",no register,Erick Zonca
"love, etc.",no register,no register,Marion Vernoux
metroland,"Comedy, Drama","MACT Productions, Arts Council of England, Eurimages, Filmanía S.L., Blue Horizon Productions, European Co-production Fund",Philip Saville
the sticky fingers of time,"Science Fiction, Drama",no register,Hilary Brougher
following,"Crime, Drama, Thriller","Syncopy, Next Wave Films",Christopher Nolan
go,"Crime, Comedy, Thriller",Columbia Pictures,Doug Liman
never been kissed,"Romance, Comedy, Drama","Fox 2000 Pictures, Flower Films (II), Bushwood Pictures, Never Been Kissed Productions",Raja Gosnell
twin dragons,"Comedy, Action","Golden Way Films Ltd., Hong Kong Film Directors Guild, Dimension Films (US version)",Tsui Hark
cookie's fortune,"Comedy, Drama, Thriller","October Films, Moonstone Entertainment, Elysian Dreams, Kudzu",Robert Altman
foolish,"Comedy, Drama","No Limit Films, Shooting Star Pictures",Dave Meyers
lovers of the arctic circle,"Drama, Mystery, Romance",Sogetel,Julio Médem
goodbye lover,"Thriller, Comedy, Crime, Mystery","Regency Enterprises, Warner Bros., Lightmotive, Gotham Entertainment Group",Roland Joffé
life,"Comedy, Crime","Imagine Entertainment, Universal Pictures",Ted Demme
friends & lovers,"Comedy, Romance, Drama","C.E.O. Films, Laguna Entertainment",George Haas
hideous kinky,"Romance, Drama","Arts Council of England, The Film Consortium, AMLF, British Broadcasting Corporation (BBC), Greenpoint Films, L Films",Gillies MacKinnon
jeanne and the perfect guy,Drama,no register,Olivier Ducastel
the joyriders,no register,Noram Entertainment,Bradley Battersby
the monster,Comedy,IRIS Films,Roberto Benigni
open your eyes,"Drama, Thriller","Les Films Alain Sarde, Las Producciones del Escorpion, Lucky Red, Canal+ España, Sociedad General de Televisión (Sogetel)",Alejandro Amenábar
photographer,"TV Movie, History, Documentary, War","Arte, Mitteldeutscher Rundfunk (MDR), Canal+ Polska, Apple Film Productions, Broadcast AV, TVP1",Dariusz Jabłoński
slc punk,"Crime, Romance, Comedy, Drama, Music",Beyond Films,James Merendino
lost & found,"Comedy, Romance","Alcon Entertainment, Dinamo Entertainment",Jeff Pollack
pushing tin,"Comedy, Drama","Regency Enterprises, Fox 2000 Pictures, Art Linson Productions, Dogstar Films, Taurus Film, 3 Miles Apart Productions Ltd.",Mike Newell
election,Comedy,"Paramount Pictures, MTV Films, Bona Fide Productions",Alexander Payne
existenz,"Action, Thriller, Science Fiction, Horror","Alliance Atlantis Communications, Natural Nylon Entertainment, Serendipity Point Films, Téléfilm Canada, The Harold Greenberg Fund, The Movie Network, Union Générale Cinématographique, Canadian Television Fund",David Cronenberg
a little bit of soul,no register,no register,Peter Duncan
the mighty peking man,"Science Fiction, Action, Fantasy",Shaw Brothers,Ho Meng-Hua
nô,"Drama, Foreign",no register,Robert Lepage
let it come down: the life of paul bowles,Documentary,no register,Jennifer Baichwal
